nav,etiqueta,pid,dalvik_pss_kb,dalvik_alloc_kb,native_pss_kb,native_alloc_kb,total_pss_kb,views,viewroot,activities,appcontexts,assets,bitmap_n,bitmap_kb,hilos,okhttp_disp,okhttp_task
0,00-fresco,13517,28759,18198,506803,515228,769502,685,1,1,6,21,126,11340,103,12,15
1,c1-avisos,13517,31095,21062,524275,535207,791262,1365,1,1,6,21,186,7152,103,12,15
2,c1-postventa_mis-casos,13517,22903,22614,540531,547662,804574,1876,1,1,6,21,233,7544,104,12,15
3,c1-adoptar,13517,30359,23254,546627,553983,818751,1940,1,1,6,21,192,7545,108,12,15
4,c1-nexo,13517,29495,23366,551363,558700,825911,1969,1,1,6,21,196,7545,108,12,15
5,c1-carnet,13517,28455,23382,557475,562788,835031,1965,1,1,6,21,194,7545,107,12,15
6,c1-hogar,13517,36615,19014,560467,559110,851943,686,1,1,6,21,269,11875,108,12,15
7,c1-explorar,13517,27159,19126,584995,583903,866439,842,1,1,6,21,143,9977,104,13,11
8,c1-despensa,13517,26087,23046,631795,636268,920983,1854,1,1,6,21,208,49985,104,10,11
9,c1-pedidos,13517,24935,23654,634835,641436,925735,2093,1,1,6,21,213,49600,102,8,11
10,c1-cuenta,13517,36487,24693,662691,668095,965815,2344,1,1,6,21,279,49919,100,7,11
11,c1-hogar_paseos,13517,30823,26565,640211,649069,937975,2851,1,1,6,21,324,50298,102,7,11
12,c1-hogar_veterinaria,13517,31911,27285,646483,654313,945959,3045,1,1,6,21,320,50443,102,7,11
13,c1-hogar_bitacora,13517,30087,27525,649891,660539,949487,3078,1,1,6,21,319,50414,102,7,11
14,c1-explorar_paseo,13517,28807,28421,694419,699482,997119,3328,1,1,6,21,341,50711,102,7,11
15,c1-explorar_veterinaria,13517,36327,29125,694643,703486,1005423,3481,1,1,6,21,368,51200,102,7,11
16,c1-despensa_carrito,13517,29735,29013,740819,751233,1047563,3473,1,1,6,21,384,50285,101,7,11
17,c1-cuenta_facturas,13517,33367,29957,753107,766841,1070859,3669,1,1,6,21,423,51648,101,7,11
18,c1-cuenta_pagos,13517,44999,37877,746643,753259,1078699,5190,1,1,6,21,378,50284,101,7,11
19,c1-adoptar_refugios,13517,38599,37333,756883,761628,1082299,5252,1,1,6,21,379,50860,104,7,11
20,c1-buscar,13517,38775,37445,758787,765552,1085990,5271,1,1,6,21,383,48962,104,7,11
21,c2-avisos,13517,46999,40293,778915,788227,1122774,5951,1,1,6,21,484,49102,105,7,8
22,c2-postventa_mis-casos,13517,52071,42357,789427,789128,1141462,6462,1,1,6,21,531,49494,102,7,8
23,c2-adoptar,13517,44327,42597,791651,792844,1136102,6526,1,1,6,21,486,48983,102,7,8
24,c2-nexo,13517,43959,42709,792515,796763,1136582,6555,1,1,6,21,490,48982,102,7,8
25,c2-carnet,13517,42711,42741,798771,803121,1144358,6551,1,1,6,21,490,48982,101,7,8
26,c2-hogar,13517,47095,35493,799315,780337,1167414,4489,1,1,6,21,555,53312,105,7,11
27,c2-explorar,13517,52631,33333,820467,802035,1194038,4083,1,1,6,21,406,51421,104,6,11
28,c2-despensa,13517,40743,32997,787763,764265,1149750,4061,1,1,6,21,356,51842,105,7,11
29,c2-pedidos,13517,35287,33013,783891,766776,1140806,4061,1,1,6,21,355,51246,104,7,11
30,c2-cuenta,13517,44087,25701,812611,796527,1178008,2344,1,1,6,21,409,51565,104,7,11
31,c2-hogar_paseos,13517,34183,26805,768883,757214,1124760,2851,1,1,6,21,389,51635,106,8,11
32,c2-hogar_veterinaria,13517,38551,27557,771299,762705,1131928,3045,1,1,6,21,360,51261,107,7,12
33,c2-hogar_bitacora,13517,45111,27813,772595,767570,1139544,3078,1,1,6,21,359,51232,107,7,12
34,c2-explorar_paseo,13517,37527,28821,803747,771693,1167734,3328,1,1,6,21,401,51229,107,7,12
35,c2-explorar_veterinaria,13517,39031,29253,760995,731333,1126598,3481,1,1,6,21,368,51200,107,7,12
36,c2-despensa_carrito,13517,30647,29141,802051,775605,1159238,3473,1,1,6,21,392,50286,106,7,12
37,c2-cuenta_facturas,13517,32407,30181,811859,792568,1171414,3669,1,1,6,21,430,51648,106,7,12
38,c2-cuenta_pagos,13517,43959,37861,798675,796669,1169814,5190,1,1,6,21,375,50284,106,7,12
39,c2-adoptar_refugios,13517,44231,37541,807667,805499,1179527,5252,1,1,6,21,379,50860,107,7,12
40,c2-buscar,13517,51559,37637,809699,809462,1167225,5271,1,1,6,21,383,48962,108,7,12
41,c3-avisos,13517,46295,40293,811283,799135,1163337,5951,1,1,6,21,484,49102,109,7,12
42,c3-postventa_mis-casos,13517,52055,42421,823507,819843,1181449,6462,1,1,6,21,531,49494,109,7,12
43,c3-adoptar,13517,46135,42661,825139,823410,1165915,6526,1,1,6,21,486,48983,108,6,12
44,c3-nexo,13517,44055,42741,826995,826374,1165723,6555,1,1,6,21,490,48982,108,6,12
45,c3-carnet,13517,43143,42661,832067,830080,1169915,6551,1,1,6,21,490,48982,107,6,12
46,c3-hogar,13517,51911,35701,840051,851655,1192427,4489,1,1,6,21,572,53313,108,6,12
47,c3-explorar,13517,49463,33205,861267,831061,1219515,4083,1,1,6,21,405,51421,108,6,12
48,c3-despensa,13517,34599,32901,821251,787553,1166459,4061,1,1,6,21,350,51841,107,6,12
49,c3-pedidos,13517,35095,32917,818627,790827,1164651,4061,1,1,6,21,352,51246,107,6,12
50,c3-cuenta,13517,44039,25653,855955,830937,1210619,2344,1,1,6,21,404,51564,107,6,12
