nav,etiqueta,pid,dalvik_pss_kb,dalvik_alloc_kb,native_pss_kb,native_alloc_kb,total_pss_kb,views,viewroot,activities,appcontexts,assets,bitmap_n,bitmap_kb,hilos,okhttp_disp,okhttp_task
122,p2-explorar_grooming_disponibles,28508,41574,31386,1003635,942608,1483594,1392,1,1,20,28,236,51936,138,7,11
124,p2-explorar_guarderia_checkout,28508,41510,31914,1009011,967069,1488954,1505,1,1,20,28,239,51074,139,8,11
126,p2-explorar_paseo,28508,32614,32282,980435,882879,1447562,1803,1,1,20,28,253,51992,139,7,11
128,p2-explorar_paseo_checkout-paquete,28508,33606,32938,982323,894647,1450474,1921,1,1,20,28,259,51096,139,7,11
130,p2-explorar_paseo_disponibles,28508,49846,30362,1021107,952353,1506890,789,2,1,20,28,232,51949,139,1,11
132,p2-explorar_veterinaria,28508,37702,31034,978259,884288,1446823,1432,1,1,20,28,255,51971,138,7,10
134,p2-explorar_veterinaria_disponibles,28508,45046,31754,980499,894534,1455607,1536,1,1,20,28,248,51937,135,7,8
136,p2-hogar,28508,46326,32106,988275,909074,1464887,1602,1,1,20,28,294,54035,137,7,9
138,p2-hogar_agregar,28508,42982,33642,984259,914076,1457767,2004,1,1,20,28,283,51950,138,7,11
140,p2-hogar_foto-mascota,28508,53030,33946,985539,921880,1469063,2060,1,1,20,28,286,51950,138,7,11
142,p2-hogar_guarderia,28508,50934,34762,989955,907504,1467367,2458,1,1,20,28,351,52817,139,7,11
144,p2-hogar_mascota_documentos,28508,40022,38346,991763,915703,1458247,2554,1,1,20,28,362,52800,138,7,11
146,p2-hogar_paseos,28508,37926,37178,1000659,940100,1465159,3077,1,1,20,28,446,53482,139,7,11
148,p2-nexo,28508,56822,38058,1005251,953278,1488679,3300,1,1,20,28,435,51316,139,7,11
150,p2-pagos_deuna-ensayo,28508,54838,31914,1019747,962878,1498055,1336,1,1,20,28,471,50152,138,8,11
152,p2-pedidos,28508,31942,31306,1008163,933778,1462647,1511,1,1,20,28,336,52407,138,7,11
154,p2-postventa_motivo,28508,39670,33722,1006131,949568,1468247,2039,1,1,20,28,367,50105,138,7,11
156,p2-hogar_mascota_d2e31d70-54fc-4d47-b425-1617239257eb,28508,41414,32378,1045715,960219,1505863,1854,1,1,20,28,403,93051,140,8,11
158,p2-hogar_mascota_16baac39-6514-4836-af27-2db59f408c51,28508,43414,32650,1046195,976078,1508326,1792,1,1,20,28,396,93825,139,8,10
160,p2-hogar_vacunas_a3332037-c487-45c1-875f-83caf342f59e,28508,37270,33178,1047347,983150,1500950,1905,1,1,20,28,374,54255,144,8,15
162,p2-citas_a3332037-c487-45c1-875f-83caf342f59e,28508,53206,37594,1055523,1016830,1525558,2907,1,1,20,28,487,52608,148,8,19
164,p2-prestador_8026077e-f96f-4127-9597-8f4b2646a1b2,28508,53030,42698,1080499,1031686,1546774,3336,1,1,20,28,531,52872,157,8,19
166,p2-prestador_5e53c898-2c6d-4061-a1a6-84b58dcdd524,28508,57990,43946,1101075,1062436,1572582,3425,1,1,20,28,545,52953,161,8,19
