nav,etiqueta,pid,dalvik_pss_kb,dalvik_alloc_kb,native_pss_kb,native_alloc_kb,total_pss_kb,views,viewroot,activities,appcontexts,assets,bitmap_n,bitmap_kb,hilos,okhttp_disp,okhttp_task
0,00-fresco,28508,26199,18470,508931,517077,767190,685,1,1,6,21,128,11344,96,12,7
2,p1-adoptar_refugios,28508,33367,19174,517523,527209,785945,781,8,1,6,21,98,9443,101,12,7
4,p1-antiparasitario,28508,34471,19590,525907,531921,797929,908,1,1,6,21,103,7546,102,13,7
6,p1-buscar,28508,23319,21910,543555,549364,806245,1607,1,1,6,21,159,7560,102,13,7
8,p1-cuenta,28508,37335,20086,591491,599401,874725,966,1,1,6,21,253,10188,90,3,5
10,p1-cuenta_datos-facturacion,28508,33335,19990,551235,556195,832490,1044,1,1,6,21,139,9776,91,3,5
12,p1-cuenta_documentos,28508,52566,40794,613875,622145,938558,2872,1,1,20,28,567,13403,117,3,5
14,p1-cuenta_facturas,28508,55350,41274,620563,632285,947070,3062,1,1,20,28,409,11470,117,3,6
16,p1-cuenta_medios,28508,56422,41722,626835,631381,957438,3162,1,1,20,28,409,11044,116,3,6
18,p1-cuenta_perfil,28508,51750,49034,675843,685829,1012094,4752,1,1,20,28,413,11018,117,3,6
20,p1-cuenta_recurrentes,28508,49334,49898,682595,683270,1020558,5005,1,1,20,28,419,11165,124,7,10
22,p1-despensa,28508,56694,54586,785107,794924,1153777,6068,1,1,20,28,528,51538,127,7,10
24,p1-despensa_checkout,28508,73734,54762,777891,786740,1167105,6085,1,1,20,28,500,49976,126,7,10
26,p1-explorar,28508,56086,55610,800755,809601,1174310,6435,1,1,20,28,562,52871,127,7,10
28,p1-explorar_adiestramiento_checkout,28508,60518,56778,818963,813547,1213494,6648,1,1,20,28,570,52103,129,7,10
30,p1-explorar_adiestramiento_disponibles,28508,76678,57674,823843,828309,1234646,6771,1,1,20,28,582,52975,128,7,10
32,p1-explorar_grooming_checkout,28508,61430,58314,837155,846699,1233750,7003,1,1,20,28,606,52499,130,7,11
34,p1-explorar_guarderia,28508,78390,59482,857875,869548,1282630,7165,1,1,20,28,618,53405,130,7,12
36,p1-explorar_guarderia_disponibles,28508,78166,59466,853571,852172,1288406,7223,1,1,20,28,619,53361,130,7,12
38,p1-explorar_paseo_checkout,28508,66246,60634,869523,875457,1293414,7520,1,1,20,28,641,52814,132,7,13
40,p1-explorar_paseo_checkout-plan,28508,82054,61818,879955,892237,1319910,7660,1,1,20,28,651,52825,132,7,13
42,p1-explorar_paseo_paquete,28508,83110,61850,882483,872817,1337414,7742,1,1,20,28,657,53686,132,7,13
44,p1-explorar_veterinaria_checkout,28508,79222,62234,887011,885142,1341238,7940,1,1,20,28,689,53350,133,7,13
46,p1-guarderia_documentos,28508,83910,63050,893875,903105,1353651,8040,1,1,20,28,690,51996,133,7,13
48,p1-hogar_adiestramiento,28508,72790,63994,914307,923025,1365059,8330,1,1,20,28,745,54707,134,8,13
50,p1-hogar_bitacora,28508,83558,63978,913315,893979,1385507,8443,1,1,20,28,748,55716,134,8,13
52,p1-hogar_grooming,28508,72102,64794,918067,910620,1378426,8653,1,1,20,28,781,56102,135,8,13
54,p1-hogar_mascota_despedida,28508,75654,65642,926131,926317,1389994,8881,1,1,20,28,806,56396,132,8,10
56,p1-hogar_mascota_pasaporte,28508,69574,65994,933955,939140,1392090,8976,1,1,20,28,817,56508,131,8,10
58,p1-hogar_veterinaria,28508,78198,68618,956819,941047,1437562,9677,1,1,20,28,905,57331,132,8,10
60,p1-pagos_alta-tarjeta,28508,87734,68778,961299,957245,1451946,9710,1,1,20,28,894,55019,131,8,10
62,p1-pagos_mensualidad,28508,76406,69002,965891,969630,1445418,9768,1,1,20,28,895,55003,131,8,10
64,p1-postventa_mis-casos,28508,82070,71882,998947,1013819,1491562,10428,1,1,20,28,1047,55759,131,7,10
66,p1-recuerdo,28508,79846,71898,998771,975444,1498810,10481,1,1,20,28,968,55256,131,7,10
68,p1-hogar_mascota_a3332037-c487-45c1-875f-83caf342f59e,28508,31718,29866,1025651,987091,1498730,352,2,1,20,28,589,52131,130,4,15
70,p1-hogar_vacunas_d2e31d70-54fc-4d47-b425-1617239257eb,28508,32742,27594,895843,770984,1376234,644,1,1,20,28,369,52419,135,7,16
72,p1-citas_d2e31d70-54fc-4d47-b425-1617239257eb,28508,31206,29626,902627,786373,1381850,1134,1,1,20,28,439,50769,136,7,17
74,p1-citas_16baac39-6514-4836-af27-2db59f408c51,28508,31702,28042,934131,830839,1413978,490,1,1,20,28,448,50802,136,2,17
76,p1-prestador_ea9a88bf-6aae-467d-be6e-660d74336b85,28508,45718,33882,902323,812121,1397946,1030,1,1,20,28,438,54869,138,7,18
78,p1-explorar_guarderia_8026077e-f96f-4127-9597-8f4b2646a1b2,28508,44998,35786,920755,831227,1415834,1077,1,1,20,28,485,57342,149,7,18
80,p1-explorar_guarderia_5e53c898-2c6d-4061-a1a6-84b58dcdd524,28508,42966,34874,926739,840070,1419930,1029,1,1,20,28,472,57156,150,7,18
82,p1-pedidos_pedido_4ce6bdf1-1a0a-468b-9515-2f3ea21bd97a,28508,53862,34346,970931,894394,1474730,1079,1,1,20,28,487,57135,143,7,18
84,p1-pedidos_en-camino_4ce6bdf1-1a0a-468b-9515-2f3ea21bd97a,28508,49702,34634,940675,867329,1440218,1146,1,1,20,28,471,57140,142,7,18
86,p1-despensa_producto_d619dce0-6e01-4caf-8c1b-5774e3c91e53,28508,49366,35178,946963,872208,1447051,1213,1,1,20,28,474,58801,143,8,17
88,p1-parte_e695da49-c514-4520-8971-5bcb33f2ff21,28508,46214,35626,948835,878992,1445051,1257,1,1,20,28,464,56539,140,8,14
90,p2-adoptar,28508,47526,36074,954499,887698,1452043,1343,1,1,20,28,469,56550,140,8,14
92,p2-adoptar_solicitudes,28508,47782,36394,959827,895591,1457707,1426,1,1,20,28,475,56550,139,8,13
94,p2-avisos,28508,44886,38314,954691,850093,1445755,2182,1,1,20,28,581,56700,139,8,13
96,p2-carnet,28508,52902,30138,985123,882477,1484379,559,2,1,20,28,350,49944,138,8,13
98,p2-cuenta_ayuda,28508,34998,28986,975459,863287,1457179,860,1,1,20,28,233,51248,131,8,7
100,p2-cuenta_direccion,28508,41878,34330,948819,844660,1438075,951,1,1,20,28,245,52156,141,8,7
102,p2-cuenta_exportar,28508,53622,41178,972499,905013,1473931,2737,2,1,20,28,429,52143,139,11,7
104,p2-cuenta_familia,28508,48662,42250,971651,876408,1468075,2952,1,1,20,28,451,52180,139,10,7
106,p2-cuenta_pagos,28508,53798,49850,990355,923978,1488475,4524,1,1,20,28,448,51266,140,10,9
108,p2-cuenta_preferencias,28508,57542,50778,994723,941357,1496827,4742,1,1,20,28,459,52165,140,10,9
110,p2-cuenta_seguridad,28508,62374,51466,996723,951281,1503803,4897,1,1,20,28,471,52207,140,10,9
112,p2-despensa_carrito,28508,63910,55226,1028979,982358,1535674,5901,1,1,20,28,510,51647,140,10,9
114,p2-despensa_reclamo,28508,65734,55962,1028643,990345,1537770,6119,1,1,20,28,528,52995,141,10,9
116,p2-explorar_adiestramiento,28508,57606,56842,1036211,1005138,1537290,6444,1,1,20,28,560,53327,143,10,11
118,p2-explorar_adiestramiento_confirmar-programa,28508,69046,58074,1069667,1036773,1581978,6586,2,1,20,28,570,53337,144,7,11
120,p2-explorar_grooming,28508,49398,30842,1005459,935364,1493914,1290,1,1,20,28,239,51964,138,7,11
