nav,etiqueta,pid,dalvik_pss_kb,dalvik_alloc_kb,native_pss_kb,native_alloc_kb,total_pss_kb,views,viewroot,activities,appcontexts,assets,bitmap_n,bitmap_kb,hilos,okhttp_disp,okhttp_task
0,00-fresco,14741,26743,18422,509427,517665,769155,685,3,1,6,21,126,11340,99,12,14
1,adoptar,14741,26839,18646,513203,520333,775761,750,1,1,6,21,92,7536,105,13,14
2,adoptar_refugios,14741,25271,18797,516675,525477,778216,782,1,1,6,21,98,9443,105,13,14
3,adoptar_solicitudes,14741,25655,18989,519635,528732,781624,833,1,1,6,21,98,7535,104,13,14
4,antiparasitario,14741,27975,19293,524099,530470,790696,909,1,1,6,21,103,7546,104,13,14
5,avisos,14741,33975,22141,540707,550847,811064,1589,1,1,6,21,204,7685,84,3,4
6,buscar,14741,28871,21901,542563,550955,809812,1608,1,1,6,21,159,7560,85,3,4
7,carnet,14741,27879,21885,548451,555872,819124,1604,1,1,6,21,157,7560,85,3,4
8,cuenta,14741,32551,19869,598323,605601,876868,943,1,1,6,21,258,10189,85,3,4
9,cuenta_ayuda,14741,28455,19549,548995,551059,823380,996,1,1,6,21,136,9811,85,3,4
